word1,word2,num_paths,word_count_wiwj,degree_wiwj,degree_centrality_wiwj,closeness_centrality_wiwj,betweenness_wiwj,betweenness_centrality_wiwj,eigenvector_centrality_wiwj,clustering_coefficient_wiwj,preferential_attachment,shortest_path_length,word_count_i,degree_i,degree_centrality_i,closeness_centrality_i,betweenness_i,betweenness_centrality_i,eigenvector_centrality_i,clustering_coefficient_i,word_count_j,degree_j,degree_centrality_j,closeness_centrality_j,betweenness_j,betweenness_centrality_j,eigenvector_centrality_j,clustering_coefficient_j
大自然,学习用品,656010,156,80,0.002125624,0.147064455,7877.171095,2.24756E-05,0.009557478,0.104395604,80,3,4,5,0.025773196,0.375241779,35.34759118,0.001888125,0.078061483,0.5,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209
学习用品,纤维材料,362742,39,32,0.00085025,0.149375881,0,0,0.006752417,0.208791209,32,3,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,1,2,0.010309278,0.381139489,0,0,0.055150914,1
学习用品,文具店,329793,78,64,0.0017005,0.147635579,6750.50394,1.9261E-05,0.007979969,0.104395604,64,1,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,2,4,0.020618557,0.376699029,30.29184597,0.001618068,0.065177048,0.5
学习用品,笔,341549,234,96,0.002550749,0.157091577,72231.93951,0.000206097,0.00822676,0.027838828,96,1,39,16,0.082474227,0.391919192,222.8488797,0.011903685,0.122435267,0.208791209,6,6,0.030927835,0.400826446,324.1296954,0.017313696,0.067192728,0.133333333
人类,植物,1188538,3526,1824,0.048464236,0.262482129,18711671.2,0.053389332,0.103038627,0.005047902,1824,1,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,82,57,0.293814433,0.534435262,5870.340434,0.313569811,0.380428098,0.046365915
中性笔,人类,1253059,3526,1696,0.045063237,0.249426735,19369999.32,0.055267716,0.077866925,0.00316026,1696,1,82,53,0.273195876,0.507853403,6076.875176,0.324602061,0.287491858,0.029027576,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968
人类,暴雨,1270555,3526,1472,0.039111489,0.248127637,12022141.29,0.03430234,0.091107175,0.007047686,1472,1,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,82,46,0.237113402,0.505208333,3771.660017,0.201466803,0.33637608,0.0647343
人类,足球,1205636,3526,1600,0.042512488,0.241829981,15368082.22,0.043849191,0.080335275,0.004354839,1600,1,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,82,50,0.257731959,0.492385787,4821.369158,0.257538014,0.296605232,0.04
人类,草,920414,473,224,0.005951748,0.192098816,121908.9347,0.000347838,0.026982343,0.051843318,224,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,11,7,0.036082474,0.391129032,38.24601986,0.002042947,0.099621293,0.476190476
人类,足球场,1001946,387,320,0.008502498,0.193267774,420923.8602,0.001201007,0.028918608,0.026612903,320,2,43,32,0.164948454,0.491139241,3187.493368,0.170262986,0.27084915,0.108870968,9,10,0.051546392,0.393509128,132.0548191,0.007053834,0.106770164,0.244444444
